BRANCH_ID|CUST_SHIP_ID|CUST_NAME|CUST_ADDR1|CUST_ADDR2|CUST_CITY|CUST_POSTAL_CODE|CUST_TYPE_ID|CUST_SHIP_ID_ORACLE|
32||	APOTEK 29|JL A MAPPANYOMPA PERUM ADELIADE II BLOK KOTA PALOPO||PALOPO||A1|328796|
47|4701076|	APOTEK AFIAT|JL. KOPERASI NO.64 B||MATARAM||A1|277276|
32||	APOTEK CAHAYA MEDIKA|JL KF TENDEAN  NO 16 MACEGE||MAKASSAR||A1|327346|
32||	APOTEK DUA PITUE FARMA|JL POROS SENGKANG DESA KALOSI KEC DUA PITUE||SIDENDRENG RAPPANG||A1|352051|
32||	APOTEK SIKAMASE|JL  JENDRAL SUDIRMAN||MAMASA||A1|332987|
32||	APOTIK SARIRA FARMA|JL POROS MAKALE RANTEPAO RANTELEMO||MAKASSAR||A1|327328|
32||	APT SALEWANGAN|JL. LASINRANG NO.102 KAMPUNG PISANG KEC. SOREANG||PARE-PARE||A1|351058|
32||	BEND DANA NON APBN RUMKIT TK II PELAMONIA|JL G.TINGGIMAE NO 1||MAKASSAR||L1|356792|
24||	CV.ANEKA JAYA WOLTERMONGINSIDI|JL. WOLTERMONGINSIDI NO.100 RT.002 RW.007||SEMARANG||S10|258362|
50||	YENI WAHYU CRISTINA|JL KELAPA GADING RT 002 RW 001 JUWONO||KERTOSONO||R5|294951|
24||	YPI RAUDLATUL ULUM GUYANGAN|GUYANGAN RT.07 RW.01 TRANGKIL||PATI||A1|352467|
49|| APT AL QIRANI FARMA|JL.PAHLAWAN KEL.BUTUNG-BUTUNG KEC.KATOBU KAB.MUNA||RAHA||A1|327621|
37|3703884| APT CV SAUDARA BARU|JL. KAYU PUTIH TANJUNG GADING NO.02 RT.RW.||BATU BARA||R1|285810|
30|3001826| APT. PERMATA BUNDA|JL. MULAWARMAN NO. 07 MANGGAR||BALIKPAPAN||A1|317968|
33|3302063| PT SETIA THENOCH GORONTALO|JL. GUNUNG LOMPOBATANG NO 14 KEL BIAWU||GORONTALO||A1|305945|
33|3302063| PT SETIA THENOCH GORONTALO|JL. GUNUNG LOMPOBATANG NO 14 KEL BIAWU||GORONTALO||D1|305945|
26|2601050|&quot; 76 &quot;|JL.KARANG TEMBOK NO.76||SURABAYA||A1|264474|
41|4103071|&quot;A 17&quot;|JL. RAYA BENCULUK NO.11 CLURING||BANYUWANGI||A1|275332|
27|2705595|1001|JL. ULUWATU NO.52||BADUNG||A1|273830|
24|2410937|189 FARMA|JL. KHR ASNAWI NO.25A DAMARAN||KUDUS||A1|248525|
42||3 SMART|JL. TENTARA PELAJAR RT.04 RW.10 KEC JERUKLEGI||CILACAP||A1|282526|
