PROD_ID|PROD_NAME|PROD_UOM_PRIN|PROD_GRP_PRIN|PROD_HNA_PRIN|PROD_HNA|
0070001|AFTER SWIM SHAMPOO 100 ML|BTL|NONE|9,250.00|10,000.00|
0070002|ANTHRAMED CREAM 20 GR|TUB|OTHER|30,600.00|26,928.00|
0070003|BENZOLAC 2.5 % GEL 15 GR|TUB|NONE|5,280.00|6,000.00|
0070004|BENZOLAC 5 % GEL 15 GR|TUB|NONE|8,536.00|9,700.00|
0070005|BENZOMID LOTION 120 ML|BTL|OTC|25,437.50|27,500.00|
0070006|BENZOQUIN OINTMENT 14,2 GR|TUB|NONE|35,200.00|40,000.00|
0070007|CARMED 10 % CREAM 40 GRAM|TUB|EAGLE|25,520.00|29,000.00|
0070007|CARMED 10 % CREAM 40 GRAM|TUB|ETHICAL|29,000.00|25,520.00|
0070008|CARMED LOTION 120 ML|BTL|OTC|24,512.50|26,500.00|
0070009|DESOLEX CREAM 10 GRAM|TUB|EAGLE|20,064.00|22,800.00|
0070009|DESOLEX CREAM 10 GRAM|TUB|ETHICAL|22,800.00|20,064.00|
0070010|DESOLEX OINTMENT 10 GRAM|TUB|EAGLE|20,064.00|22,800.00|
0070010|DESOLEX OINTMENT 10 GRAM|TUB|ETHICAL|22,800.00|20,064.00|
0070011|ELDOPAQUE FORTE CREAM 14,2 GR|TUB|NONE|26,400.00|30,000.00|
0070012|ELDOQUIN FORTE CREAM 14,2 GR|TUB|NONE|22,000.00|25,000.00|
0070013|ERYMED CREAM 20 GRAM|TUB|ETHICAL|28,700.00|25,256.00|
0070013|ERYMED CREAM 20 GRAM|TUB|PIGEON|25,256.00|28,700.00|
0070014|ERYMED GEL 15 GRAM|TUB|ETHICAL|28,700.00|25,256.00|
0070014|ERYMED GEL 15 GRAM|TUB|PIGEON|25,256.00|28,700.00|
0070015|ERYMED SOLUTION 30 ML|BTL|ETHICAL|28,700.00|25,256.00|
0070015|ERYMED SOLUTION 30 ML|BTL|PIGEON|25,256.00|28,700.00|
0070016|KETOMED CREAM 15 GRAM|TUB|EAGLE|23,056.00|26,200.00|
0070016|KETOMED CREAM 15 GRAM|TUB|ETHICAL|26,200.00|23,056.00|
0070017|KETOMED GEL 15 GRAM|TUB|EAGLE|23,056.00|26,200.00|
0070017|KETOMED GEL 15 GRAM|TUB|ETHICAL|26,200.00|23,056.00|
0070018|KETOMED SCALP SOLUTION 60 ML|BTL|EAGLE|35,288.00|40,100.00|
0070018|KETOMED SCALP SOLUTION 60 ML|BTL|ETHICAL|40,100.00|35,288.00|
0070019|CARMED 20 % CREAM 40 GR|TUB|EAGLE|32,824.00|37,300.00|
0070019|CARMED 20 % CREAM 40 GR|TUB|ETHICAL|37,300.00|32,824.00|
0070020|KLODERMA CREAM 10 GRAM|TUB|EAGLE|27,830.00|31,625.00|
0070020|KLODERMA CREAM 10 GRAM|TUB|ETHICAL|31,625.00|27,830.00|
0070021|KLODERMA CREAM 5 GRAM|TUB|EAGLE|17,908.00|20,350.00|
0070021|KLODERMA CREAM 5 GRAM|TUB|ETHICAL|20,350.00|17,908.00|
0070022|KLODERMA OINTMENT 10 GRAM|TUB|EAGLE|27,830.00|31,625.00|
0070022|KLODERMA OINTMENT 10 GRAM|TUB|ETHICAL|31,625.00|27,830.00|
0070023|KLODERMA OINTMENT 5 GRAM|TUB|EAGLE|17,908.00|20,350.00|
0070023|KLODERMA OINTMENT 5 GRAM|TUB|ETHICAL|20,350.00|17,908.00|
0070024|MEDIQUIN CREAM 15 GRAM|TUB|EAGLE|26,400.00|30,000.00|
0070024|MEDIQUIN CREAM 15 GRAM|TUB|ETHICAL|30,000.00|26,400.00|
0070025|MELANOX CREAM 15 GRAM|TUB|OTC|20,326.88|21,975.00|
0070026|MELANOX FORTE 4% CREAM 15 GRAM|TUB|EAGLE|27,720.00|31,500.00|
0070026|MELANOX FORTE 4% CREAM 15 GRAM|TUB|ETHICAL|31,500.00|27,720.00|
0070027|OXSOLAREN LOTION 30 ML|BTL|NONE|31,680.00|36,000.00|
0070028|PABANOX CREAM 20 GR|TUB|OTC|44,400.00|41,070.00|
0070028|PABANOX CREAM 20 GR|TUB||41,070.00|44,400.00|
0070029|PABANOX LOTION SPF - 15 120 ML|BTL|OTC|31,542.50|34,100.00|
0070030|PABANOX LOTION SPF - 6 120 ML|BTL|OTC|25,437.50|27,500.00|
0070031|PARASOL AFTER SUN LOTION 120 ML|BTL|OTC|21,275.00|23,000.00|
0070032|PARASOL CREAM 20 GR|TUB|OTC|37,150.00|34,363.75|
0070032|PARASOL CREAM 20 GR|TUB||34,363.75|37,150.00|
0070033|PARASOL CREAM SPF - 33 20 GR|TUB|OTC|51,300.00|47,452.50|
0070034|PARASOL LOTION SPF - 15 120 ML|BTL|OTC|48,800.00|45,140.00|
0070035|PARASOL LOTION SPF - 30 120 ML|BTL|OTC|71,132.50|76,900.00|
0070036|PARASOL LOTION SPF 45 120 ML|BTL|OTC|23,125.00|25,000.00|
0070037|REGROU 30 ML|BTL|ETHICAL|55,100.00|48,488.00|
0070037|REGROU 30 ML|BTL|PIGEON|48,488.00|55,100.00|
0070038|RV PAQUE OINTMENT|TUB|NONE|22,200.00|24,000.00|
0070039|VITACID 0,025% CREAM 15 GRAM|TUB|PIGEON|20,240.00|23,000.00|
0070039|VITACID 0.025% CREAM 15 GRAM|TUB|ETHICAL|23,000.00|20,240.00|
0070040|VITACID 0.025 % GEL 20 GRAM|TUB|ETHICAL|23,000.00|20,240.00|
0070040|VITACID 0.025 % GEL 20 GRAM|TUB|PIGEON|20,240.00|23,000.00|
0070041|VITACID 0,05% CREAM 20 GRAM|TUB|PIGEON|29,744.00|33,800.00|
0070041|VITACID 0.05% CREAM 20 GRAM|TUB|ETHICAL|33,800.00|29,744.00|
0070042|VITACID 0.05 % LOTION 50 ML|BTL|ETHICAL|46,600.00|41,008.00|
0070042|VITACID 0.05 % LOTION 50 ML|BTL|PIGEON|41,008.00|46,600.00|
0070043|VITACID 0,1% CREAM 20 GR|TUB|PIGEON|38,632.00|43,900.00|
0070043|VITACID 0.1% CREAM 20 GR|TUB|ETHICAL|43,900.00|38,632.00|
0070044|VITAQUIN CREAM 15 GR|TUB|OTHERS|61,600.00|54,208.00|
0070045|BENZOLAC 2,5 %  GEL 5 GR|TUB|PIGEON|11,748.00|13,350.00|
0070045|BENZOLAC 2.5 %  GEL 5 GR|TUB|ETHICAL|13,350.00|11,748.00|
0070046|NIACEF GEL 15 GRAM|TUB|ETHICAL|28,700.00|25,256.00|
0070046|NIACEF GEL 15 GRAM|TUB|PIGEON|25,256.00|28,700.00|
0070047|PABANOX LOTION SPF - 4 120 ML|BTL|OTC|25,437.50|27,500.00|
0070048|REGROU FORTE 5 % SOLUTION 30 ML|BTL|ETHICAL|98,850.00|86,988.00|
0070048|REGROU FORTE 5 % SOLUTION 30 ML|BTL|PIGEON|86,988.00|98,850.00|
0070049|BENZOLAC 5 % GEL 5 GR|TUB|ETHICAL|17,600.00|15,488.00|
0070049|BENZOLAC 5 % GEL 5 GR|TUB|PIGEON|15,488.00|17,600.00|
0070052|PARASOL CREAM 15 GR|TUB|NONE|15,725.00|17,000.00|
0070054|PARASOL SUNTAN LOTION 120 ML|BTL|NONE|15,840.00|18,000.00|
0070056|BENZOLAC 2,5%  GEL 20 GR|TUB|NONE|5,412.00|6,000.00|
0070058|BENZOLAC 5 15 GR GEL|TUB|NONE|9,240.00|10,500.00|
0070059|MEDI-KLIN GEL 15 GRAM|TUB|ETHICAL|22,900.00|20,152.00|
0070059|MEDI-KLIN GEL 15 GRAM|TUB|PIGEON|20,152.00|22,900.00|
0070060|MEDI-KLIN SOLUTION 30 ML|BTL|ETHICAL|42,350.00|37,268.00|
0070060|MEDI-KLIN SOLUTION 30 ML|BTL|PIGEON|37,268.00|42,350.00|
0070061|DESOLEX 0.05 % LOTION 10 ML|BTL|EAGLE|22,616.00|25,700.00|
0070061|DESOLEX 0.05 % LOTION 10 ML|BTL|ETHICAL|25,700.00|22,616.00|
0070062|DESOLEX 0.05 % LOTION 30 ML|BTL|EAGLE|44,528.00|50,600.00|
0070062|DESOLEX 0.05 % LOTION 30 ML|BTL|ETHICAL|50,600.00|44,528.00|
0070063|KLODERMA 0.05 % GEL 5 GRAM|TUB|EAGLE|17,908.00|20,350.00|
0070063|KLODERMA 0.05 % GEL 5 GRAM|TUB|ETHICAL|20,350.00|17,908.00|
0070064|SAGALON CREAM 10 GRAM|TUB|EAGLE|32,252.00|36,650.00|
0070064|SAGALON CREAM 10 GRAM|TUB|ETHICAL|36,650.00|32,252.00|
0070065|AFTER SWIM SHAMPOO 125 ML|BTL|OTC|13,875.00|15,000.00|
0070066|GLIKODERM 8 % 20 GR|POT|NONE|14,800.00|16,000.00|
0070067|GLIKODERM 10 % 20 GR|POT|PEACOCK|36,700.00|32,296.00|
0070068|BENZOLAC-CL GEL 10 GRAM|TUB|ETHICAL|29,100.00|25,608.00|
0070068|BENZOLAC-CL GEL 10 GRAM|TUB|PIGEON|25,608.00|29,100.00|
0070071|MEDI-KLIN TR GEL 15 GRAM|TUB|ETHICAL|40,300.00|35,464.00|
0070071|MEDI-KLIN TR GEL 15 GRAM|TUB|PIGEON|35,464.00|40,300.00|
0070072|MOFACORT CREAM 10 GRAM|TUB|EAGLE|58,564.00|66,550.00|
0070072|MOFACORT CREAM 10 GRAM|TUB|ETHICAL|66,550.00|58,564.00|
0070073|MOFACORT CREAM 5 GRAM|TUB|EAGLE|30,712.00|34,900.00|
0070073|MOFACORT CREAM 5 GRAM|TUB|ETHICAL|34,900.00|30,712.00|
0070074|DESOLEX N CREAM 10 GRAM|TUB|EAGLE|25,080.00|28,500.00|
0070074|DESOLEX N CREAM 10 GRAM|TUB|ETHICAL|28,500.00|25,080.00|
0070075|MELANOX FACE UV PROTECTOR 25 GR|TUB|OTC|54,500.00|50,412.50|
0070076|MELANOX NIGHT REJUVENATING CREAM 25 GRAM|TUB|OTC|27,750.00|30,000.00|
0070077|HYCORT 1 % 5 GR|TUB|OTHER|2,728.00|3,100.00|
0070078|HYCORT 1 % 10 GR|TUB|OTHER|4,488.00|5,100.00|
0070079|MEDICORT CREAM 10 GRAM|TUB|EAGLE|48,664.00|55,300.00|
0070079|MEDICORT CREAM 10 GRAM|TUB|ETHICAL|55,300.00|48,664.00|
0070080|REVIDERM 0.01 % CREAM 15 GRAM|TUB|ETHICAL|26,350.00|23,188.00|
0070080|REVIDERM 0.01 % CREAM 15 GRAM|TUB|PIGEON|23,188.00|26,350.00|
